Tanggal,Status,IpAddress,Nik
"09/16/23 03:01:00",0,"192.168.48.111","5029"
"09/16/23 03:03:00",0,"192.168.48.111","4196"
"09/16/23 03:03:00",0,"192.168.48.111","4502"
"09/16/23 03:03:00",0,"192.168.48.111","4595"
"09/16/23 03:04:00",0,"192.168.48.111","4363"
"09/16/23 03:04:00",0,"192.168.48.111","4482"
"09/16/23 03:04:00",0,"192.168.48.111","1684"
"09/16/23 03:04:00",0,"192.168.48.111","1428"
"09/16/23 03:04:00",0,"192.168.48.111","4648"
"09/16/23 03:05:00",0,"192.168.48.111","4830"
"09/16/23 03:05:00",0,"192.168.48.111","4618"
"09/16/23 03:06:00",0,"192.168.48.111","1205"
"09/16/23 03:06:00",0,"192.168.48.111","4938"
"09/16/23 03:08:00",0,"192.168.48.111","4936"
"09/16/23 03:09:00",0,"192.168.48.111","4262"
"09/16/23 03:09:00",0,"192.168.48.111","4323"
"09/16/23 03:11:00",0,"192.168.48.111","4389"
"09/16/23 03:12:00",0,"192.168.48.111","4625"
"09/16/23 03:12:00",0,"192.168.48.111","4969"
"09/16/23 03:12:00",0,"192.168.48.111","4979"
"09/16/23 03:13:00",0,"192.168.48.111","4813"
"09/16/23 03:13:00",0,"192.168.48.111","4481"
"09/16/23 03:13:00",0,"192.168.48.111","4447"
"09/16/23 03:13:00",0,"192.168.48.111","4450"
"09/16/23 03:14:00",0,"192.168.48.111","4971"
"09/16/23 03:21:00",0,"192.168.48.111","4908"
"09/16/23 03:21:00",0,"192.168.48.111","4616"
"09/16/23 03:23:00",0,"192.168.48.111","4987"
"09/16/23 03:27:00",0,"192.168.48.111","4695"
"09/16/23 03:34:00",0,"192.168.48.111","4608"
"09/16/23 04:00:00",0,"192.168.48.111","1462"
"09/16/23 04:01:00",0,"192.168.48.111","4452"
"09/16/23 04:04:00",0,"192.168.48.111","4966"
"09/16/23 04:04:00",0,"192.168.48.111","4530"
"09/16/23 04:09:00",0,"192.168.48.111","3080"
"09/16/23 04:28:00",0,"192.168.48.111","4444"
"09/16/23 05:48:00",0,"192.168.48.111","1846"
"09/16/23 05:48:00",0,"192.168.48.111","4930"
"09/16/23 06:02:00",0,"192.168.48.111","1770"
"09/16/23 06:04:00",0,"192.168.48.111","1431"
"09/16/23 06:06:00",0,"192.168.48.111","1799"
"09/16/23 06:06:00",0,"192.168.48.111","4369"
"09/16/23 06:07:00",0,"192.168.48.111","1848"
"09/16/23 06:10:00",0,"192.168.48.111","1349"
"09/16/23 06:12:00",0,"192.168.48.111","1833"
"09/16/23 06:14:00",0,"192.168.48.111","1843"
"09/16/23 06:15:00",0,"192.168.48.111","1827"
"09/16/23 06:15:00",0,"192.168.48.111","1350"
"09/16/23 06:16:00",0,"192.168.48.111","1834"
"09/16/23 06:16:00",0,"192.168.48.111","1400"
"09/16/23 06:18:00",0,"192.168.48.111","1837"
"09/16/23 06:22:00",0,"192.168.48.111","1842"
"09/16/23 06:27:00",0,"192.168.48.111","4697"
"09/16/23 06:28:00",0,"192.168.48.111","4709"
"09/16/23 06:32:00",0,"192.168.48.111","1427"
"09/16/23 06:37:00",0,"192.168.48.111","4735"
"09/16/23 06:57:00",0,"192.168.48.111","4933"
"09/16/23 07:01:00",0,"192.168.48.111","4852"
"09/16/23 07:02:00",0,"192.168.48.111","1850"
"09/16/23 07:02:00",0,"192.168.48.111","4673"
"09/16/23 07:02:00",0,"192.168.48.111","4787"
"09/16/23 07:02:00",0,"192.168.48.111","4922"
"09/16/23 07:03:00",0,"192.168.48.111","4547"
"09/16/23 07:03:00",0,"192.168.48.111","4409"
"09/16/23 07:05:00",0,"192.168.48.111","4924"
"09/16/23 07:11:00",0,"192.168.48.111","4184"
"09/16/23 07:11:00",0,"192.168.48.111","1576"
"09/16/23 07:18:00",0,"192.168.48.111","4611"
"09/16/23 07:28:00",0,"192.168.48.111","4551"
"09/16/23 07:29:00",0,"192.168.48.111","4661"
"09/16/23 07:31:00",0,"192.168.48.111","4827"
"09/16/23 08:00:00",0,"192.168.48.111","4652"
"09/16/23 08:00:00",0,"192.168.48.111","4783"
"09/16/23 08:53:00",0,"192.168.48.111","4978"
"09/16/23 10:24:00",0,"192.168.48.111","4657"
"09/16/23 10:32:00",0,"192.168.48.111","4823"
"09/16/23 10:36:00",0,"192.168.48.111","4666"
"09/16/23 10:48:00",0,"192.168.48.111","1377"
"09/16/23 10:48:00",0,"192.168.48.111","4811"
"09/16/23 11:00:00",0,"192.168.48.111","4781"
"09/16/23 11:01:00",0,"192.168.48.111","4353"
"09/16/23 11:01:00",0,"192.168.48.111","4324"
"09/16/23 11:03:00",0,"192.168.48.111","4451"
"09/16/23 11:03:00",0,"192.168.48.111","4361"
"09/16/23 11:03:00",0,"192.168.48.111","4581"
"09/16/23 11:03:00",0,"192.168.48.111","4398"
"09/16/23 11:03:00",0,"192.168.48.111","4580"
"09/16/23 11:03:00",0,"192.168.48.111","4552"
"09/16/23 11:04:00",0,"192.168.48.111","4454"
"09/16/23 11:04:00",0,"192.168.48.111","3618"
"09/16/23 11:04:00",0,"192.168.48.111","1572"
"09/16/23 11:04:00",0,"192.168.48.111","4276"
"09/16/23 11:05:00",0,"192.168.48.111","1841"
"09/16/23 11:05:00",0,"192.168.48.111","4537"
"09/16/23 11:05:00",0,"192.168.48.111","4381"
"09/16/23 11:06:00",0,"192.168.48.111","4717"
"09/16/23 11:07:00",0,"192.168.48.111","5063"
"09/16/23 11:07:00",0,"192.168.48.111","1473"
"09/16/23 11:08:00",0,"192.168.48.111","1579"
"09/16/23 11:09:00",0,"192.168.48.111","4591"
"09/16/23 11:09:00",0,"192.168.48.111","5027"
"09/16/23 11:10:00",0,"192.168.48.111","1434"
"09/16/23 11:10:00",0,"192.168.48.111","4626"
"09/16/23 11:11:00",0,"192.168.48.111","1706"
"09/16/23 11:12:00",0,"192.168.48.111","4943"
"09/16/23 11:12:00",0,"192.168.48.111","4819"
"09/17/23 12:01:00",0,"192.168.48.111","4465"
"09/17/23 01:03:00",0,"192.168.48.111","4697"
"09/17/23 01:03:00",0,"192.168.48.111","1588"
"09/17/23 01:03:00",0,"192.168.48.111","4411"
"09/17/23 01:09:00",0,"192.168.48.111","1352"
"09/17/23 01:10:00",0,"192.168.48.111","1427"
"09/17/23 01:45:00",0,"192.168.48.111","4925"
"09/17/23 03:00:00",0,"192.168.48.111","4978"
"09/17/23 03:07:00",0,"192.168.48.111","1339"
"09/17/23 03:23:00",0,"192.168.48.111","4709"
"09/17/23 05:33:00",0,"192.168.48.111","1288"
"09/17/23 05:36:00",0,"192.168.48.111","1350"
"09/17/23 05:40:00",0,"192.168.48.111","1843"
"09/17/23 05:51:00",0,"192.168.48.111","1827"
"09/17/23 06:03:00",0,"192.168.48.111","1593"
"09/17/23 06:03:00",0,"192.168.48.111","1735"
"09/17/23 06:04:00",0,"192.168.48.111","4384"
"09/17/23 06:13:00",0,"192.168.48.111","1411"
"09/17/23 06:20:00",0,"192.168.48.111","4386"
"09/17/23 06:29:00",0,"192.168.48.111","5020"
"09/17/23 06:31:00",0,"192.168.48.111","4398"
