Barcode,Nama,Date,Time
5029,,09-16-2023,03:01
4196,,09-16-2023,03:03
4502,,09-16-2023,03:03
4595,,09-16-2023,03:03
4363,,09-16-2023,03:04
4482,,09-16-2023,03:04
1684,,09-16-2023,03:04
1428,,09-16-2023,03:04
4648,,09-16-2023,03:04
4830,,09-16-2023,03:05
4618,,09-16-2023,03:05
1205,,09-16-2023,03:06
4938,,09-16-2023,03:06
4936,,09-16-2023,03:08
4262,,09-16-2023,03:09
4323,,09-16-2023,03:09
4389,,09-16-2023,03:11
4625,,09-16-2023,03:12
4969,,09-16-2023,03:12
4979,,09-16-2023,03:12
4813,,09-16-2023,03:13
4481,,09-16-2023,03:13
4447,,09-16-2023,03:13
4450,,09-16-2023,03:13
4971,,09-16-2023,03:14
4908,,09-16-2023,03:21
4616,,09-16-2023,03:21
4987,,09-16-2023,03:23
4695,,09-16-2023,03:27
4608,,09-16-2023,03:34
1462,,09-16-2023,04:00
4452,,09-16-2023,04:01
4966,,09-16-2023,04:04
4530,,09-16-2023,04:04
3080,,09-16-2023,04:09
4444,,09-16-2023,04:28
1846,,09-16-2023,05:48
4930,,09-16-2023,05:48
1770,,09-16-2023,06:02
1431,,09-16-2023,06:04
1799,,09-16-2023,06:06
4369,,09-16-2023,06:06
1848,,09-16-2023,06:07
1349,,09-16-2023,06:10
1833,,09-16-2023,06:12
1843,,09-16-2023,06:14
1827,,09-16-2023,06:15
1350,,09-16-2023,06:15
1834,,09-16-2023,06:16
1400,,09-16-2023,06:16
1837,,09-16-2023,06:18
1842,,09-16-2023,06:22
4697,,09-16-2023,06:27
4709,,09-16-2023,06:28
1427,,09-16-2023,06:32
4735,,09-16-2023,06:37
4933,,09-16-2023,06:57
4852,,09-16-2023,07:01
1850,,09-16-2023,07:02
4673,,09-16-2023,07:02
4787,,09-16-2023,07:02
4922,,09-16-2023,07:02
4547,,09-16-2023,07:03
4409,,09-16-2023,07:03
4924,,09-16-2023,07:05
4184,,09-16-2023,07:11
1576,,09-16-2023,07:11
4611,,09-16-2023,07:18
4551,,09-16-2023,07:28
4661,,09-16-2023,07:29
4827,,09-16-2023,07:31
4652,,09-16-2023,08:00
4783,,09-16-2023,08:00
4978,,09-16-2023,08:53
4657,,09-16-2023,10:24
4823,,09-16-2023,10:32
4666,,09-16-2023,10:36
1377,,09-16-2023,10:48
4811,,09-16-2023,10:48
4781,,09-16-2023,11:00
4353,,09-16-2023,11:01
4324,,09-16-2023,11:01
4451,,09-16-2023,11:03
4361,,09-16-2023,11:03
4581,,09-16-2023,11:03
4398,,09-16-2023,11:03
4580,,09-16-2023,11:03
4552,,09-16-2023,11:03
4454,,09-16-2023,11:04
3618,,09-16-2023,11:04
1572,,09-16-2023,11:04
4276,,09-16-2023,11:04
1841,,09-16-2023,11:05
4537,,09-16-2023,11:05
4381,,09-16-2023,11:05
4717,,09-16-2023,11:06
5063,,09-16-2023,11:07
1473,,09-16-2023,11:07
1579,,09-16-2023,11:08
4591,,09-16-2023,11:09
5027,,09-16-2023,11:09
1434,,09-16-2023,11:10
4626,,09-16-2023,11:10
1706,,09-16-2023,11:11
4943,,09-16-2023,11:12
4819,,09-16-2023,11:12
4465,,09-17-2023,12:01
4697,,09-17-2023,01:03
1588,,09-17-2023,01:03
4411,,09-17-2023,01:03
1352,,09-17-2023,01:09
1427,,09-17-2023,01:10
4925,,09-17-2023,01:45
4978,,09-17-2023,03:00
1339,,09-17-2023,03:07
4709,,09-17-2023,03:23
1288,,09-17-2023,05:33
1350,,09-17-2023,05:36
1843,,09-17-2023,05:40
1827,,09-17-2023,05:51
1593,,09-17-2023,06:03
1735,,09-17-2023,06:03
4384,,09-17-2023,06:04
1411,,09-17-2023,06:13
4386,,09-17-2023,06:20
5020,,09-17-2023,06:29
4398,,09-17-2023,06:31
1850,,09-17-2023,06:36
1381,,09-17-2023,06:37
4454,,09-17-2023,06:39
4941,,09-17-2023,06:39
4690,,09-17-2023,06:43
4573,,09-17-2023,06:43
4686,,09-17-2023,06:48
4760,,09-17-2023,06:48
4427,,09-17-2023,06:51
1473,,09-17-2023,06:53
4450,,09-17-2023,06:54
4353,,09-17-2023,06:57
4608,,09-17-2023,06:57
1429,,09-17-2023,07:00
4571,,09-17-2023,07:01
4845,,09-17-2023,07:01
1234,,09-17-2023,07:01
4751,,09-17-2023,07:02
4437,,09-17-2023,07:02
4815,,09-17-2023,07:04
1377,,09-17-2023,07:04
4959,,09-17-2023,07:05
4594,,09-17-2023,07:06
4493,,09-17-2023,07:07
4438,,09-17-2023,07:08
4720,,09-17-2023,07:11
4388,,09-17-2023,07:13
4846,,09-17-2023,07:20
4530,,09-17-2023,07:42
4348,,09-17-2023,07:45
4666,,09-17-2023,02:23
4781,,09-17-2023,02:33
4975,,09-17-2023,02:41
4490,,09-17-2023,02:49
3080,,09-17-2023,03:00
4353,,09-17-2023,03:01
4276,,09-17-2023,03:01
4454,,09-17-2023,03:03
3618,,09-17-2023,03:03
4442,,09-17-2023,03:03
5020,,09-17-2023,03:03
1381,,09-17-2023,03:03
4599,,09-17-2023,03:04
4851,,09-17-2023,03:04
1389,,09-17-2023,03:04
1434,,09-17-2023,03:04
4501,,09-17-2023,03:04
1850,,09-17-2023,03:04
4595,,09-17-2023,03:04
4451,,09-17-2023,03:04
4683,,09-17-2023,03:04
4324,,09-17-2023,03:04
4695,,09-17-2023,03:05
4819,,09-17-2023,03:05
4626,,09-17-2023,03:06
1579,,09-17-2023,03:06
4525,,09-17-2023,03:08
5027,,09-17-2023,03:08
3787,,09-17-2023,03:09
4938,,09-17-2023,03:09
1473,,09-17-2023,03:09
1475,,09-17-2023,03:13
4382,,09-17-2023,03:18
4580,,09-17-2023,03:19
4386,,09-17-2023,03:21
1205,,09-17-2023,04:02
4800,,09-17-2023,04:02
1234,,09-17-2023,04:02
3358,,09-17-2023,04:03
4450,,09-17-2023,04:04
4760,,09-17-2023,04:06
4746,,09-17-2023,04:07
4971,,09-17-2023,04:08
4813,,09-17-2023,04:13
4554,,09-17-2023,04:14
1687,,09-17-2023,04:19
4908,,09-17-2023,04:28
4608,,09-17-2023,04:41
4452,,09-17-2023,05:01
4528,,09-17-2023,05:05
4930,,09-17-2023,05:05
1411,,09-17-2023,05:39
1431,,09-17-2023,05:45
1770,,09-17-2023,05:48
1295,,09-17-2023,05:57
1837,,09-17-2023,06:10
1843,,09-17-2023,06:16
1350,,09-17-2023,06:20
1374,,09-17-2023,06:22
1827,,09-17-2023,06:28
1834,,09-17-2023,06:28
1791,,09-17-2023,06:32
1288,,09-17-2023,06:32
1842,,09-17-2023,06:47
4381,,09-17-2023,07:06
4978,,09-17-2023,10:39
4473,,09-17-2023,11:00
1706,,09-17-2023,11:00
4378,,09-17-2023,11:00
5035,,09-17-2023,11:02
4363,,09-17-2023,11:03
4959,,09-17-2023,11:03
4404,,09-17-2023,11:03
4975,,09-17-2023,11:04
4184,,09-17-2023,11:04
4520,,09-17-2023,11:04
1314,,09-17-2023,11:04
4779,,09-17-2023,11:04
1572,,09-17-2023,11:04
4388,,09-17-2023,11:05
4493,,09-17-2023,11:05
4780,,09-17-2023,11:05
4437,,09-17-2023,11:05
4717,,09-17-2023,11:05
4815,,09-17-2023,11:05
5026,,09-18-2023,05:23
1288,,09-18-2023,05:41
1849,,09-18-2023,05:41
1843,,09-18-2023,05:50
4384,,09-18-2023,05:57
1735,,09-18-2023,06:01
1295,,09-18-2023,06:03
1431,,09-18-2023,06:06
1833,,09-18-2023,06:08
1400,,09-18-2023,06:08
4386,,09-18-2023,06:08
1848,,09-18-2023,06:09
1770,,09-18-2023,06:11
1411,,09-18-2023,06:13
1850,,09-18-2023,06:18
5020,,09-18-2023,06:19
4756,,09-18-2023,06:28
4972,,09-18-2023,06:33
4760,,09-18-2023,06:35
4442,,09-18-2023,06:36
4671,,09-18-2023,06:39
4688,,09-18-2023,06:40
4924,,09-18-2023,06:43
4910,,09-18-2023,06:43
1381,,09-18-2023,06:44
4454,,09-18-2023,06:46
3598,,09-18-2023,06:48
1473,,09-18-2023,06:48
4428,,09-18-2023,06:50
4427,,09-18-2023,06:56
4608,,09-18-2023,06:59
4594,,09-18-2023,07:00
1318,,09-18-2023,07:00
4392,,09-18-2023,07:00
4772,,09-18-2023,07:00
4183,,09-18-2023,07:02
4711,,09-18-2023,07:02
3057,,09-18-2023,07:02
4738,,09-18-2023,07:03
4936,,09-18-2023,07:05
4719,,09-18-2023,07:05
4516,,09-18-2023,07:06
1429,,09-18-2023,07:07
5029,,09-18-2023,07:07
1838,,09-18-2023,07:08
4724,,09-18-2023,07:11
4978,,09-18-2023,07:12
4354,,09-18-2023,07:14
4323,,09-18-2023,07:15
3842,,09-18-2023,07:17
4891,,09-18-2023,07:19
1588,,09-18-2023,07:22
4795,,09-18-2023,07:22
4487,,09-18-2023,07:23
4934,,09-18-2023,07:26
4846,,09-18-2023,07:29
4796,,09-18-2023,07:32
4935,,09-18-2023,07:33
4977,,09-18-2023,07:37
4534,,09-18-2023,07:39
1858,,09-18-2023,07:46
4767,,09-18-2023,07:47
4877,,09-18-2023,07:49
3047,,09-18-2023,07:50
4905,,09-18-2023,07:50
1535,,09-18-2023,07:50
4376,,09-18-2023,07:51
4895,,09-18-2023,07:51
1223,,09-18-2023,07:51
4898,,09-18-2023,07:51
4684,,09-18-2023,07:53
4976,,09-18-2023,07:55
4200,,09-18-2023,07:55
4806,,09-18-2023,07:55
4769,,09-18-2023,07:57
